scene_script,summary
"INT. WAITING ROOM - DAY

Joel sits in the small room with his bags.  A woman across
from him cradles a box full of belongings in her lap.  Her
eyes are red from crying.  Mary, the receptionist, pokes her
head through her window into the waiting room.

		MARY
	Hello again, Mr. Barish.  Good, you've
	got your stuff.","Joel, the protagonist, is sitting in a waiting room with his bags. There's a woman across from him who is holding a box full of belongings in her lap, and she seems to have been crying as her eyes are red. Mary, the receptionist, appears through her window and greets Joel. She's familiar with him and mentions that he has his stuff with him."
"INT. HALLWAY - DAY

Joel walks with his bags behind Mary.

		MARY
		(not looking back)
	How are you today?
		(at lab)
	Here we are.","In this scene, Joel follows Mary down a hallway while carrying his bags. Mary asks Joel how he's doing today as they walk toward a lab."
"INT. LABORATORY - DAY

Joel enters.  Mierzwiak stands there with Stan in his lab
coat.

		MIERZWIAK
	Ah, Mr. Barish.  This is Stan.  He'll be
	in charge of your procedure tonight.

Stan nods professionally.

		STAN
	Mr. Barish.

		JOEL
	How exactly is this going to work
	tonight?

As Mierzwiak talks, the room colors start to fade,
Mierzwiak's tone of voice is also affected; it becomes dry
and monotonous.

		MIERZWIAK
	We'll start with your most recent
	memories and go backwards -- There is an
	emotional core to each of our memories --
	As we eradicate this core, it starts its
	degradation process --  By the time you
	wake up in the morning, all memories
	we've targeted will have withered and
	disappeared.  Like a dream upon waking.

		JOEL
	Is there any sort of risk of brain
	damage?

		MIERZWIAK
	Well, technically, the procedure itself
	is brain damage, but on a par with a
	night of heavy drinking.  Nothing you'll
	miss.

Joel looks quizzically at the eroding environment.  Suddenly
he gets it.

		JOEL
	It's happening now!  I'm already in my
	brain.

Mierzwiak looks at the fading room.

		MIERZWIAK
	Yes, I suppose you are.
		(back in his faded memory
		 persona)
	So, let's get started -- If we want the
	procedure underway tonight, we have some
	work to do.

Joel is sitting in a chair.  Electrodes connect him to some
electronic machinery monitored by Stan.  Mierzwiak watches
from the corner.

		STAN
	We use the articles you brought to create
	a map of Clementine in your brain.
	Tonight while you sleep we'll be able to
	trace the map and erase.

		JOEL
	But you're tracing and erasing now.  It's
	already started.  I'm home in my bed.

Stan pulls a snow globe from one of Joel's bags, shows it to
Joel.  The equipment registers Joel's reaction.

		STAN
	Very good.

Stan pulls out a potato dressed as a Vegas showgirl.  Joel
studies it.  The machines register his response.

		MIERZWIAK
	We'll dispose of these mementos when
	we're done here.  That way you won't be
	confused later by their unexplainable
	presence in your home.

Stan pulls out a coffee mug with a photo of Clementine
printed on it.  Joel looks at the cup.  The machines record
his reaction.

		STAN
	Good.  We're getting healthy read-outs.

The room, Stan, and Mierzwiak are now vague and wispy.

		STAN'S VOICE
	Patrick, do me a favor --

Joel is watching Stan.  Stan is not speaking, yet his voice
continues.

		STAN'S VOICE (CONT'D)
	-- and check the voltage levels, I'm not
	wiping as clean as I would like here.

Joel looks up.  Stan's voice seems to be coming from above.","Joel enters a laboratory where he meets with Mierzwiak and Stan. Mierzwiak explains that they will begin the procedure by erasing Joel's most recent memories and move backwards, targeting the emotional core of each memory until they are all gone by morning. Joel seems concerned about the risk of brain damage. Mierzwiak assures him that there is a little risk and that it is like a night of heavy drinking. As they speak, the colors in the room start to fade, and the tone of their voices changes. Joel realizes that it has already started and expresses his confusion. Stan shows Joel various objects, including a snow globe, and a coffee mug with Clementine's photo on it, while monitoring his reaction. They use these objects to create a map of Clementine in Joel's brain, which they will trace and erase while he sleeps that night. The room becomes vague and wispy, and Stan's voice seems to come from above."
"INT. JOEL'S APARTMENT - NIGHT

Joel lies on his back in fresh pajamas.  His eyes are closed
and electrodes connect his head to several machines.  The
machines are operated by Stan, now in grubby street clothes
and in need of a shave, and by Patrick, dressed similarly.
The monitor on one of the machines traces a myriad of light
blips running like streams through an image of Joel's brain.
Stan presses buttons and operates a joystick, aiming for the
lines.  Patrick (who we saw earlier with Clementine at the
bookstore) studies a meter on one of the machines.

		PATRICK
	The voltage looks fine.

		STAN
	Then check the connections.

Patrick fiddles with some jacks.

		PATRICK
	Does that help?

		STAN
	Yeah, that looks better.  Thanks.","In this scene, Joel is lying in his apartment with electrodes connected to machines that are tracing light blips in his brain. Stan and Patrick, who are in grubby street clothes, operate the machines while studying the monitors and meters. They fiddle with some jacks and check the connections to ensure everything is working properly."
"INT. LAB ROOM - DAY

The memory is becoming vague, characters' affects flat.  Stan
pulls out a pile of loose-leaf pages.  Mierzwiak smiles.

		MIERZWIAK
	Ah, your journal.  This will be
	invaluable.

		STAN
		(reading)
	December 15th, 2004.  I met someone
	tonight.  Oh, Christ:  I don't know what
	to do.  Her name is Clementine and she's
	amazing.  So alive and spontaneous and
	passionate and sensitive.  Things with
	Naomi and I have been stagnant for so
	long.

The scene is just a shell of itself as Stan rattles on.

		STAN'S VOICE
	I think we got this one.  Let's push on.

Joel looks up at the ceiling.","In a lab room, Stan shows Mierzwiak his journal, which he thinks will be useful to them. Mierzwiak agrees and starts reading an entry where Stan describes having just met someone named Clementine who is amazing. As Stan continues reading entries aloud, Joel appears uninterested and gazes up at the ceiling."
"INT. JOEL'S APARTMENT - DAY

Joel, snapped into a new memory, cries as he fills two large
plastic garbage bags with mementos of his relationship with
Clementine.  There are funny little gifts, wind-up toys, some
potatoes dressed as women, some clothing Clementine has left
there, some CD's.  He pulls a big clump of pages out of his
loose-leaf journal and dumps them in the bag.

He gets some clean loose-leaf paper and writes:

December 15, 2004   Nothing much happened today.  I stayed
home.  Naomi worked on her dissertation.

The scene is fading as he continues to write.","In this scene, Joel is in his apartment, going through his possessions and putting things in plastic bags. He is clearly emotional as he does this, crying while packing up mementos from his relationship with Clementine, including toys, clothing, and CDs. Joel also takes pages out of his journal and adds them to the bag. He then switches to writing on clean paper, noting that nothing much happened on December 15th, 2004. The scene fades out as he continues writing."
"INT. HALLWAY - DAY

Joel looks for an office number.  He finds it.  The plaque on
the door reads Lacuna Ltd.  Joel enters.","Summary: Joel is seen searching for an office number in a hallway. After finding the correct number, he enters the office, which is identified as Lacuna Ltd."
"INT. WAITING ROOM - DAY

Joel enters the Lacuna waiting room.  Mary sits in the
reception area.

		MARY
	May I help you?

		JOEL
	My name is Joel Barish.  I have an
	appointment.

		MARY
	Please have a seat.  Dr. Mierzwiak will
	be right with you.","In this scene, Joel arrives at the Lacuna waiting room to have a medical procedure performed. Mary, the receptionist, greets him and asks for his name. She informs him to take a seat and wait for his appointment with Dr. Mierzwiak."
"INT. OFFICE HALL - DAY

Mary leads Joel down the hall.

		MARY
		(without turning)
	How are you today?

		JOEL
	Not great.

		MARY
		(at Mierzwiak's office)
	Here we are.

Joel glimpses Mary smiling coquettishly at Mierzwiak.","Mary guides Joel through the hall, and as they walk, she asks how he's doing. Joel admits that he isn't great. They arrive at Mierzwiak's office and Mary turns to smile flirtatiously at Mierzwiak while Joel watches."
"INT. MIERZWIAK'S OFFICE - DAY

Joel and Mierzwiak are in the sitting area.  Joel looks at
the tape recorder.

		MIERZWIAK
	I'm sorry you saw one of our notification
	cards.  You never should have.

		JOEL
	Well... I did.

		MIERZWIAK
	We can help you through this.  Why don't
	you start now by telling me everything
	you can remember about your relationship
	with Clementine.

		JOEL
		(thinks, then:)
	It was a mess.  I don't know how it got
	this way...

		PATRICK'S VOICE
	It's kind of a dump, don't you think?

Joel looks up, trying to locate the voice.","Summary:Joel and Mierzwiak are in Mierzwiak's office, sitting down while discussing Joel's relationship with Clementine. Mierzwiak apologizes for Joel seeing one of their notification cards and assures him that they can help him. Mierzwiak then prompts Joel to tell him everything he can remember about his time with Clementine. Joel hesitates before saying that it was a mess, admitting that he doesn't know how it got to that point. Just as Joel is about to continue his story, Patrick's voice interrupts him, causing Joel to look around for its source."
"INT. JOEL'S APARTMENT - NIGHT

Patrick is checking out the apartment.  Stan monitors the
equipment.

		STAN
		(uninterested)
	It's an apartment.

		PATRICK
	Not a dump, then, but kind of plain.
	Uninspired.  And there's a stale smell.
	Sort of stuffy.  I don't know.  Stuffy.

		STAN
	Patrick, let's just get through this.  We
	have a long night ahead of us.

		PATRICK
	Yeah.

Patrick returns to the bedside, focuses on the machines for a
moment.  He glances at the unconscious Joel.

		PATRICK (CONT'D)
	So who do you think is better-looking, me
	or this guy?

Stan glances sideways at Patrick.","The scene takes place in Joel's apartment at night. Patrick and Stan are there, with Stan monitoring the equipment. Patrick comments on the apartment's appearance, finding it plain and stuffy with a stale smell. Stan tells Patrick to focus and reminds him that they have a long night ahead of them. Patrick then goes back to the bedside where Joel is unconscious. He asks Stan who he thinks is better looking between himself and Joel, and Stan looks at him sideways."
"INT. MIERZWIAK'S OFFICE - DAY

Mierzwiak sits with Joel in the sitting area.

		MIERZWIAK
	So we'll need you to go home and bring in
	everything you ever received from
	Clementine and anything that might remind
	you of her...

The scene is faded and disappearing fast.  It's gone.","In this scene, Joel is in the office with Mierzwiak. Mierzwiak tells him that they need him to bring in everything he ever received from Clementine and anything that reminds him of her. But the scene suddenly fades and disappears, as Joel undergoes a procedure to erase Clementine from his memory."
"INT. JOEL'S OFFICE - DAY

Joel gets off the elevator and approaches the receptionist.

		JOEL
	So then she just stops calling.

		VOICE-OVER
	I wasn't going to call her.  Not after
	the way she was.

		JOEL
	Any messages, Carmen?

Carmen the receptionist shakes her head.

Next day: Joel approaches the receptionist.

		JOEL (CONT'D)
	Any messages for me, Carmen.

		CARMEN
	Nothing, Joel.

		VOICE-OVER
	It's bullshit.  She's punishing me for
	being honest with her.

Joel is at his office desk on the phone.

		PHONE MACHINE VOICE
	You have no messages.","Joel visits the receptionist at his office two days in a row, asking if he has any messages. The receptionist reports that there are no messages for Joel. Joel's internal monologue reveals that he believes his ex-girlfriend is purposely not calling him back as revenge for his honesty with her. The scene ends with Joel checking his phone messages, which reveal that he has no new messages."
"INT. JOEL'S APARTMENT - NIGHT

Joel enters, checks his phone machine: zero messages.",The scene takes place in Joel's apartment at night. Joel walks in and immediately checks his answering machine but finds no new messages.
"INT. JOEL'S OFFICE - DAY

Joel gets off the elevator, approaches Carmen, who is in
conversation with someone else.

		JOEL
	Sorry, Carmen.  Any messages?

Carmen shakes her head ""no"", goes back to her conversation.","In this scene, Joel arrives at his office and asks Carmen if there are any messages for him. Carmen briefly responds to him before going back to her conversation with someone else."
"INT. JOEL'S APARTMENT - NIGHT

Joel checks his machine: zero messages.

		VOICE-OVER
	That's it.  I'm just gonna--

Without a moment's hesitation, he dials the phone.

		VOICE-OVER (CONT'D)
	I'm gonna tell her I'm through playing
	games and --

		RECORDED VOICE
	The number you have dialed has been
	disconnected.

Joel's eyes bug.","In this scene, Joel is seen at his apartment at night, checking his machine for any messages but there aren't any. He decides to call someone but as soon as he dials the number, he hears a recorded voice saying that the number has been disconnected. The look on Joel's face suggests that he is surprised by this and it leaves the audience wondering about who he was trying to call and why the number is disconnected."
"INT. ROB AND CARRIE'S LIVING ROOM - NIGHT

Joel sits across Rob and Carrie, mid-40's.

		JOEL
	Why would she do that?

		VAGUE RECORDED VOICE
	-- If you think you have reached this
	recording in error, please check your
	number and dial again.

		CARRIE
	I don't know, honey.  It's horrible.

		JOEL
	She's punishing me for being honest.  I
	should just go to her house.

		ROB
	I don't think you should go there, Joel.

		JOEL
	Yeah, I don't want to seem desperate.

		CARRIE
	Maybe you need to look at this as a sign
	to move on.  Just make a clean break.

		JOEL
	I don't know.  I'm so... I can't believe
	she'd be so goddamn immature!

		ROB
	Joel, look, the thing is --

		CARRIE
		(agitated, interrupting)
	Joel, honey... We have to feed the dog.
	Would you just wait here?  Just a second.

Joel nods, confused, as Rob and Carrie leave the room and
close the door behind them.  Joel hears a hushed argument
ensue in the hall.  He notices the dog asleep on the floor.
He grabs a magazine off the coffee table, flips through it
distractedly as he paces, puts it down, picks up another.  A
subscription card falls to the floor.  He picks it up and is
about to shove it back in the magazine when he sees it is not
a subscription card at all.  It reads:

 Clementine Kruczynski has had Joel Barish erased from her
  memory.  Please never mention their relationship to her
		 again.  Thank you.

		     Lacuna Ltd.
		     610 11th Avenue, NY, NY

Joel stares at the card, incredulous.

Later: Rob and Carrie are now back in the room.

		CARRIE (CONT'D)
	You weren't supposed to see that.

		JOEL
	They can't erase memories.  It's a joke.
	It's a nasty Clementine hoax.

		CARRIE
	Sweetie, we called the company.

Joel just stands there.

Close-up of a vague dictionary page.

		VOICE-OVER
	Lacuna:  Noun.  A blank, a missing
	portion, especially in a manuscript.","Joel is sitting with Rob and Carrie in their living room, upset and confused about why his ex-girlfriend Clementine would treat him so poorly. They receive a vague recorded voicemail and continue discussing the situation. Joel is considering going to Clementine's house, but Rob advises against it. Carrie thinks this could be a sign for Joel to move on. They leave the room to feed the dog, and Joel finds a subscription card on the floor that reveals Clementine had her memories of him erased. He is in disbelief. Rob and Carrie return to explain they called the ""Lacuna"" company responsible for erasing memories. The scene ends with a voice-over of the definition of ""lacuna"" as a blank or missing portion."
"INT. JOEL'S APARTMENT - NIGHT

Joel is on the phone pacing.

		CARRIE'S VOICE
	You can't tell her, Joel.  They explained
	that.  Like waking a sleepwalker.  It
	might have a devastating effect.","In this scene, Joel is seen pacing and talking on the phone with Carrie. He seems to be troubled by something, and Carrie is advising him not to disclose it to someone. She compares the act to waking up a sleepwalker which can be dangerous and have a negative impact on them."
"INT. JOEL'S CAR - NIGHT

Joel drives past vague local landmark.

		CARRIE'S VOICE
	Think about it: to be told you lived an
	existence of which you have no
	recollection.

		JOEL'S VOICE
	But what am I supposed to do?

		CARRIE'S VOICE
	Move on, sweetie.

		JOEL'S VOICE
	How can I?  How can I move on when I know
	I'm the only one to carry this love we
	had?  How do I do that?","Carrie and Joel are in Joel's car driving past a local landmark. In the scene, Carrie comforts Joel about losing the memories of his past love. Joel is feeling helpless and has a hard time moving on from his lost love when no one else remembers it."
"INT. CAR - NIGHT

Joel in his parked car next to a fence surrounding a drive-in
movie closed for the season.  He weeps.  The windows fog up
until the outside is completely obscured.","The scene takes place at night and features Joel crying inside his parked car which is located beside a fence that surrounds a closed drive-in movie theater. As he sobs, the windows of the car fog up and the outside becomes completely obscured."
"EXT. NEW YORK STREET - DAY

Joel looks for an address.","In this scene, Joel is seen walking down a busy New York street, looking around with confusion as he tries to locate a specific address. The camera follows him as he looks up and down the street, and the noise of cars and people can be heard in the background. It is unclear why Joel is looking for this particular address, but he appears to be lost and unsure of where to go. The scene ends with Joel stopping to ask for directions from a passerby."
"INT. ELEVATOR - DAY

Joel gets off on the sixth floor.  He searches for a room
number.  As he turns the corner, he sees that the hallway is
faded, vague and mostly erased.  He keeps walking, comes to
the door marked Lacuna and opens it.  Inside he can see
vague, erased version of Mary the receptionist.

		MARY
		(dead monotone)
	Hi, May I help you?

These degraded, faded memories allow Joel to detach himself
and hear what's going on in his bedroom.

		STAN'S VOICE
	So, Mary's coming over tonight.

Joel looks up.","In this scene, Joel is seen getting off an elevator and searching for a specific room in a faded and vague hallway. He eventually finds the door marked ""Lacuna"" and enters. Inside, he sees a blurred and barely recognizable version of Mary the receptionist, who greets him in a monotone voice. This strange environment allows Joel to detach himself from reality and listen in to a conversation happening in his bedroom. He hears the voice of a man named Stan discussing the fact that Mary will be coming over that night."
"INT. JOEL'S APARTMENT - NIGHT

Stan works the joystick.  Patrick sits on the bed with Joel.

		PATRICK
	Yeah?

		STAN
	Just wanted to let you know.

		PATRICK
	I like Mary.  I like when she comes to
	visit.  I just don't think she likes me.

		STAN
	She likes you okay.

		PATRICK
	I wonder if I should invite my girlfriend
	over, too.  I have a girlfriend now.

		STAN
	You can if you want.

		PATRICK
	Did I tell you I have a new girlfriend?

		STAN
		(re: memory on monitor)
	This one's history.  Moving on...

		PATRICK
	The thing is ... my situation is a little
	weird.  My girlfriend situation.

		STAN
	Patrick, we need to focus.

Stan aims the joystick.","In this scene, Joel, Patrick, and Stan are in Joel's apartment. Stan is working on something and Patrick is sitting on the bed with Joel. They have a conversation about Mary, who is coming to visit. Patrick likes her, but is unsure if she likes him. He also mentions that he has a new girlfriend and that his situation with her is a bit weird. However, Stan reminds Patrick to focus and they continue with whatever they are doing."
"INT. JOEL'S APARTMENT - NIGHT

Joel distractedly reads a book, checks the clock, goes back
to the book.  The door opens.  He looks up.  Clementine is
staggering in, drunk.

		CLEMENTINE
	Yo ho ho!

		JOEL
	It's three.

		VOICE-OVER
	Shit.  The last time I saw you.

		CLEMENTINE (CONT'D)
	Anyhoo, sweetie, I done a bad thing.  I
	kinda sorta wrecked your car...

		JOEL
	I can't believe you wrecked my car.

		JOEL
	You're driving drunk.  It's pathetic.

		CLEMENTINE
	...a little.  I was a little tipsy.
	Don't call me pathetic.

		JOEL
	Well it is pathetic.  And fucking
	irresponsible.  You could've killed
	somebody.

The scene is starting to degrade.  The acting becomes anemic.

		JOEL (CONT'D)
	I don't know, maybe you did kill
	somebody.

		CLEMENTINE
	Oh Christ I didn't kill anybody.  It's
	just a fucking dent.  You're like some
	old lady or something.

		VOICE-OVER
	Right!  She called me an old lady here,
	too!  And I remember, I said...

		JOEL (CONT'D)
	And what are you like?  A wino?

		CLEMENTINE
	A wino?  Jesus, Are you from the fifties?
	A wino!
		(laughs)
	Face it, Joel.  You're freaked out
	because I was out late without you, and
	in your little wormy brain, you're trying
	to figure out, did she fuck someone
	tonight?

		JOEL
	No, see, Clem, I assume you fucked
	someone tonight.  Isn't that how you get
	people to like you?

This shuts Clementine up.  She is stung and she starts
gathering up her belongings, which are strewn about the
apartment.  Joel is immediately sorry he said this.  He
follows her around.

		JOEL (CONT'D)
	I'm sorry.  Okay.  I didn't mean that.  I
	just... I was just... pissed, I guess.

Clementine is out the door.  Joel follows.","In this scene, Joel is reading a book when Clementine comes home drunk and tells him that she wrecked his car. Joel is angry and calls her pathetic and irresponsible for driving drunk. When Clementine defends herself, Joel suggests that she may have slept with someone else. This makes Clementine feel stung and she starts to gather her stuff to leave. Joel apologizes for what he said, but it's too late as Clementine leaves the apartment."
"EXT. STREET - NIGHT

Joel looks at his dented car, looks at Clementine clomping
off in the distance.",The scene takes place at night on a street where Joel sees his car that has a dent. Clementine can be seen moving away from Joel's location in the distance.
"INT. JOEL'S CAR - CONTINUOUS

Joel drives to catch up with Clementine.  He rolls down his
window to talk to her.

		JOEL
	Let me drive you home.

		CLEMENTINE
		(without turning)
	Fuck you, Joel.  Faggot.

		JOEL
	Look at it out here.  It's falling apart.
	I'm erasing you.  And I'm happy.

She keeps clomping.

		JOEL (CONT'D)
	You did it to me.  I can't believe you
	did this to me.  By morning you'll be
	gone.  Ha!

He stops the car, gets out.","Joel drives his car in an attempt to catch up to Clementine. He opens the window and offers to drive her home, but she refuses and insults him. Joel tells Clementine that he is erasing her from his memory and is happy about it. Clementine continues walking away without looking back. Joel then gets out of his car and follows her."
"EXT. STREET - CONTINUOUS

It's a street you might see in a dream, more an impression of
a quiet street than an actual one, with what little detail
there is obscured in darkness.  Joel wanders it.  In the
distance Clementine walks off, but as in an animated loop,
she doesn't get any farther away.  It's lonely.

		PATRICK'S VOICE
	See, remember that girl?  The one we did
	last week?  The one with the potatoes?

Joel looks up, startled.

		STAN'S VOICE
	Yeah, that's this guy's girlfriend.  Was.",Joel walks on a deserted and dream-like street when he hears the voices of Patrick and Stan discussing a girl they slept with who happens to be Joel’s ex-girlfriend Clementine.
"INT. JOEL'S APARTMENT - NIGHT

Stan watches the screen.  Patrick paces, fidgets, looks at
the unconscious Joel.

		PATRICK
	I gotta tell you something.  I kind of
	fell in love with her last night.

		STAN
	She was unconscious, Patrick.

		PATRICK
	She was beautiful.  So sweet and funky
	and voluptuous.  I kind of stole a pair
	of her panties, is what.

		STAN
	Jesus, Patrick!",Patrick is pacing and fidgeting in Joel's apartment while Joel is unconscious. Patrick tells Stan that he fell in love with a woman who was unconscious last night and even stole a pair of her panties. Stan reacts with shock and disbelief at Patrick's behavior.
"EXT. STREET - NIGHT

On the vague street Joel listens to Patrick and Stan.

		PATRICK'S VOICE
	I know.  It's not like... I mean, they
	were clean and all.

		STAN'S VOICE
	Look, just don't tell me this stuff.  I
	don't want to know this shit.

		PATRICK'S VOICE
	Yeah, okay.

		STAN'S VOICE
	We have work to do.

There's a click and Joel finds himself in --","Joel is walking down a dark street at night, listening to a conversation between Patrick and Stan. Patrick mentions something to Stan about someone being clean, but Stan doesn't want to know any of the details and tells Patrick to stop talking. The conversation is cut short as Joel suddenly finds himself somewhere else after a clicking sound."
"INT. JOEL'S APARTMENT - NIGHT

Joel and Clementine sit and eat dinner in front of the TV.
It's hard to make out what they're watching.
They sit on opposite ends of the couch.  They look bored.
The scene quickly degenerates.  The room fades.

		PATRICK'S VOICE
	Okay, but there's more.

Joel listens.

		PATRICK'S VOICE (CONT'D)
	After we did her, I went to where she
	worked and I asked her out.

Joel looks over at the faded Clementine across the couch.
She stares straight ahead at the TV.

		STAN'S VOICE
	Patrick... do you know how unethical...

		JOEL
	That must be the guy I saw you with.

		VOICE-OVER
	In the bookstore that night.  The skinny
	guy.

There's a click and Joel finds himself in --","Joel and Clementine are sitting in front of a TV, but it's hard to make out what they're watching. They sit on opposite ends of the couch and look bored. Suddenly, the room fades away and Patrick's voice is heard off-screen. He talks about going to where Clementine worked and asking her out after their relationship ended. Joel looks over at Clementine, who stares straight ahead at the TV. Stan's voice is also heard off-screen, criticizing Patrick for his actions."
"INT. JOEL'S APARTMENT - NIGHT

Joel watches TV.  Clementine walks by in her underwear, looks
at the TV.  She slips into a skirt.

		CLEMENTINE
	How can you watch this crap?

		JOEL
	Where are you going?

		CLEMENTINE
	I'm fucking crawling out of my skin.

The scene starts to fade.  Clementine puts on her shoes and
heads out the door.","Joel is sitting on his couch watching TV when Clementine walks by in her underwear. She looks at the TV and then slips into a skirt before leaving the apartment. The scene ends with Clementine putting on her shoes and heading out the door. It's implied that she is feeling uncomfortable or unhappy, possibly due to something that happened between them earlier in the day"
"EXT. ZOO - DAY

Joel and Clementine walk around unhappily.  They barely look
at the animals.  Clementine watches parents with babies.

		JOEL
	Oh shit.  I remember this.
		(to Clementine)
	Want to go?

		CLEMENTINE
		(pissy)
	I want to have a baby.

		JOEL
	Let's talk about it later.

		CLEMENTINE
	No.  I want to have a baby.  I have to
	have a baby.

		JOEL
	I don't think we're ready.

		CLEMENTINE
	You're not ready.

		JOEL
	Clementine, do you really think you could
	take care of a kid?

She turns violently toward him, glaring.

		CLEMENTINE
	What?!

		JOEL
		(mumbly)
	I don't want to talk about this here.

		CLEMENTINE
	Joel, We're fucking gonna talk about it!

Joel looks around.  People are watching.

		CLEMENTINE (CONT'D)
	You can't fucking say something like that
	and say you don't want to talk about it!

		JOEL
	Clem, I'm sorry.  I shouldn't have --

		CLEMENTINE
		(screaming now)
	I'd make a fucking good mother!  I love
	children!  I'm creative and smart and I'd
	make a fucking good mother!

The scene starts to fade.  Clementine's rant continues but
becomes attenuated and vague.

		JOEL
	Oh, thank God.  It's going.

		CLEMENTINE
	It's you!  It's you who can't commit to
	anything!  You have no idea how lucky you
	are I'm interested in you!  I don't even
	know why I am!  I should just end it
	right here, Joel.  Leave you in the zoo.
	Maybe you could find a nice sloth to hang
	out with!

She's crying now, but it's almost animatronic, no real
emotion in it.  The scene is a husk.

		JOEL
	It's going, Clementine.  All the crap and
	hurt and disappointment.  It's all being
	wiped away.

She looks up at him.

		CLEMENTINE
	I'm glad.

Their eyes lock.  She is fading before his eyes.

		JOEL
	Me, too.","Joel and Clementine are at the zoo, but they are both unhappy. Clementine sees a couple with a baby and becomes visibly upset. Joel asks if she wants to leave, but she responds by saying that she wants to have a baby. When Joel questions if they are ready, Clementine becomes defensive and angry. She insists that she would be a good mother, but Joel doesn't seem to believe her. The scene starts to fade away as they argue, and Clementine's emotions become less distinct. Joel is relieved that the memory is disappearing, and Clementine agrees with him. They share a tender moment as the scene fades away."
"INT. BAR - NIGHT

It's noisy and crowded.  Joel and Clementine sit at a small
table.  She is drunk and staring off, blankly.

		JOEL
	So, um --

		CLEMENTINE
		(swiveling head toward him)
	Would you get me another, Joely?

Joel sighs, stands, and heads to the crowded bar.

		CLEMENTINE (CONT'D)
	Thanky!  Thanky!

Joel is at the bar, trying to get the bartender's attention.

Joel is paying the bartender.  He turns with the drink to
head back to the table.  He sees Clementine flirting with a
man in Joel's seat.

Joel is at the table.  Clementine looks from her
conversation.

		CLEMENTINE (CONT'D)
	Joel, this is Mark.  He likes my boobs.
	He came over special to tell me that.
	Isn't that nice.  He doesn't think I'm
	fat.

The scene starts to fade.  Mark rises.

		MARK
	I didn't know she was with someone, man.

		CLEMENTINE
	S'okay, Mark.  Joel doesn't like my
	boobs.
		(stage whisper)
	I don't think he likes girls.

The bar gets quiet and vague.

		JOEL
	You're drunk.

		CLEMENTINE
	You're a whiz kid.  So perceptive, so --

Clementine keeps talking but there are no more intelligible
words, just a whisper -- like a breeze.

A doorbell buzzes.  Joel looks up.","Joel and Clementine visit a noisy and crowded bar. Clementine is drunk and doesn't seem very interested in talking to Joel. Joel goes to the bar to get another drink for Clementine, and when he comes back, he sees her flirting with another man. The man is Mark, and he leaves after realizing that Joel is Clementine's partner. Clementine then tells Joel that Mark complimented her breasts, to which Joel protests. The scene fades away, and Clementine's words start becoming unintelligible. Suddenly, a doorbell buzzes, and Joel looks to see what's happening."
"INT. JOEL'S APARTMENT - NIGHT

Patrick opens the door.  Mary stands there in a winter coat,
carrying a backpack.

		MARY
		(coolly)
	Oh, hey, Patrick.

		PATRICK
	Hi, Mary.  How's it going?

She walks past him.

		STAN
	Hey, you.

Stan and Mary kiss.  She looks down at Joel as she takes off
her coat.

		MARY
	It's freezing out.

		STAN
	You found us okay?

		MARY
	Yeah.
		(re: Joel)
	Poor guy.
		(looking around)
	Have anything to drink?

		STAN
	We haven't checked.

		MARY
	Well, allow me to do the honors.  It's
	fucking freezing and I need something.

She heads into the kitchen.  Stan turns back to monitor the
slivers of light.

		PATRICK
	Mary hates me.  I've never been popular
	with the ladies.

		STAN
	Maybe if you stopped stealing their
	panties.

		PATRICK
		(guilty beat)
	Okay, There's more, Stan --

Stan looks over at Patrick.  Mary returns with a bottle of
scotch and two glasses.

		MARY
	Hey, hey.

She pours the whiskey.

		MARY (CONT'D)
	Oh, Patrick, you didn't want any, did
	you?

		PATRICK
	Nah, I don't know.

Mary hands a glass to Stan.  She holds hers up in a toast.

		MARY
	Blessed are the forgetful, for they get
	the better even of their blunders.

Mary and Stan click glasses.

		MARY (CONT'D)
	Nietzsche.  Beyond Good and Evil.  Found
	it my Bartletts.

		STAN
	That's a good one.

		MARY
	Yeah, I can't wait to tell Howard!  It
	seems really appropriate.

		STAN
		(a little sulky)
	It's a good one all right.

		PATRICK
	What's your bartlett's?

		STAN
	It's a quote book.

		MARY
	I love quotes.  So did Winston Churchill.
	He actually has a quotation in Bartlett's
	about Bartlett's.  Isn't that trippy?

		PATRICK
		(trying to engage)
	Yeah.  Cool.

		MARY
	""The quotations when engraved upon the
	memory give you good thoughts.""

		PATRICK
	Very cool.  Trippy.

		MARY
	I like to read what smart people say.  So
	many beautiful, important things.

		STAN
	Yup.

		MARY
	Don't you think Howard's like that?
	Smart?  Important?

		STAN
		(beat)
	Yup.

		PATRICK
	Definitely!

		MARY
	I think he'll be in Bartlett's one day.

Stan focuses on the monitor.  Mary pours herself another
drink.

		PATRICK
	Definitely.","Mary, Stan, and Patrick arrive at Joel's apartment, where they discuss quotes and drink scotch. Mary pours herself another drink as Stan focuses on the monitor. Patrick tries to engage in the conversation about quotes, but Mary and Stan seem uninterested."
